page: 496

^^Table I.—Historical Pitches in order from Lowest to Highest^^—*continued.*

	Cents | a' | Date | Observer | Place and other particulars

4. *Mean Pitch of Europe for Two Centuries*—continued.

	201 | 415·5 | 1722 | Naeke | Dresden, organ of St. Sophie, built by G. Silbermann
	211 | 418 | 1780 | Euler | St. Petersburg, organs; no particulars
	212 | 418·1 | 1878 | E. | Dresden, present pitch of the organ of the Roman Catholic Church, from a fork tuned for me there
	215 | 419 | 1700c | E. | London, Renatus Harris's organ at St. John's, Clerkenwell
	217 | 419·5 | 1714 | Naeke | Freiberg, Saxony, G. Silbermann's organ
	218 | 419·6 | 1858 | de la Fage | Madrid, ton de chapelle, calculated
	„ | „ | 1785 | E. | Seville, Spain, pitch of the old organ of Torje Bosch, from a fork said by the organist Don Yñiguez to be in exact unison with its *a'* at a ¶ mean temperature
	219 | 419·9 | 1715c | E. | England, rude tenor *a* fork, belonging to Rev. G. T. Driffield, who held it to have been made by John Shore, the inventor of tuning-forks
	220 | 420·1 | 1780 | E. | Winchester College organ, from one of the pipes added by Green when repairing R. Harris's organ of 1681
	224 | 421·2 | 1860 | E. | Russian Imperial Court church band from fork lent by Frau Naeke
	225 | 421·3 | 1780 | Naeke | Vienna, fork of the Saxon organ-builder Schulze, who lived at Vienna in Mozart's time
	226 | 421·6 | 1780 | Naeke & E. | Vienna, copy of fork of Stein, who made Mozart's clavichords and pianos, lent me by Frau Naeke
	229 | 422·3 | 1780 | Naeke | Dresden, fork of former Court organist Kirsten
	„ | „ | 1780c | E. | Verona, from a copy of a *c'* fork believed to be the Roman pitch of 1780, preserved at the bellfoundry of Cavedini, procured by Prof. Rossetti of Padua
	230 | 422·5 | 1751 | E. | England, Handel's fork belonging to Rev. G. T. ¶ Driffield. The organ at Cannons in the private chapel of the Duke of Chandos, built by Jordans, and afterwards bought by Trinity Church, Gosport, has been recently (in 1884) examined by the organist, Mr. Howlett, and found to have had in Handel's time, when he used to play on it, a *B*♮ (now *B*♭) pipe of 12·3 inches long, and 1 inch in diameter; this shews that its pitch, was then *A*423·5, or practically the same as Handel's fork
	„ | „ | 1820a | E. | Westminster Abbey, as originally tuned by Schreider and Jordans, from indications by Mr. T. Hill, who retuned it to *a'*441·7. It had been altered by Greatorex to *a'*433·2, Smart's pitch
	„ | „ | 1838 | E. | Bath Abbey Church, as rebuilt by Smith of Bristol, from indications by Mr. T. Hill
	„ | „ | 1877p | E. | England, Mr. J. Curwen's Tonic Solfa standard *c''*507, using the just *a'* only
	¶ „ | 422·6 | 1790a | E. | Kew Parish Church, Green's organ, untouched and in meantone temperament when measured in 1878, built as a chamber organ for George III.
	„ | „ | 1754c | Delezenne | Lille, very old fork found in workshops of M. François, musical instrument maker there
	„ | „ | 1780c | E. | Padua, from copy of the higher *f''* fork of the bellfoundry of Colbacchini (see 152 cents)
	231 | 422·7 | 1800c | E. | England, from old fork, *c''*505·7, belonging to Messrs. Broadwoods
	232 | 423 | 1820 | McLeod and E. | Paris, Théâtre Feydeau, Opéra Comique, from copy of fork at the Conservatoire, Paris, compared with the original by Cavaillé-Coll
	233 | 423·2 | 1778 | E. | London, Green's organ at St. Katherine's, Regent's Park, still (when I measured it) in meantone temperament (see sect. G., p. 484c')
	„ | „ | 1815-1821 | E. | Dresden, band of the Opera while C. M. von Weber (1786-1826) was conductor (*Kapellmeister*)
	„ | 423·3 | 1813 | E. | London, second copy of Peppercorn's fork by which the pianofortes of the Philharmonic
